Rapporterat vetenskapligt namn	Vetenskapligt namn	DyntaxaID	FÃ¶rÃ¤ldrataxa	Antal rÃ¤knade rader i databasen	AphiaID	Match type	LSID	TSN	Qualitystatus	Taxon status	ScientificName	Authority	AphiaID_accepted	used_aphia_id	ScientificName_accepted	Authority_accepted	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies	isMarine	isBrackish	isFresh	isTerrestrial	Citation		
1005579	Zannichellia	1005579	Plantae - Viridiplantae - Streptophyta - Embryophyta - Tracheophyta - Euphyllophytina - Spermatophytae - Angiospermae - Liliopsida - Alismatales - Potamogetonaceae - Zannichellia	66	416221	exact	urn:lsid:marinespecies.org:taxname:416221	39067	Checked by Taxonomic Editor	accepted	Zannichellia	Linnaeus, 1753	416221	416221	Zannichellia	Linnaeus, 1753	Plantae	Tracheophyta	Magnoliopsida	Alismatales	Potamogetonaceae	Zannichellia				1	1	1		Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Zannichellia Linnaeus, 1753. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=416221 on 2022-09-20		
1005580	Zostera	1005580	Plantae - Viridiplantae - Streptophyta - Embryophyta - Tracheophyta - Euphyllophytina - Spermatophytae - Angiospermae - Liliopsida - Alismatales - Zosteraceae - Zostera	54	144233	exact	urn:lsid:marinespecies.org:taxname:144233	39073	Checked by Taxonomic Editor	accepted	Zostera	L.	144233	144233	Zostera	L.	Plantae	Tracheophyta	Magnoliopsida	Alismatales	Zosteraceae	Zostera				1	1	0	0	Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Zostera L.. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=144233 on 2022-09-20		
218387	Mytilus edulis	106665	Animalia - Mollusca - Bivalvia - Pteriomorphia - Mytiloida - Mytilidae - Mytilus - Mytilus edulis	37	140480	exact	urn:lsid:marinespecies.org:taxname:140480	79454	Checked by Taxonomic Editor	accepted	Mytilus edulis	Linnaeus, 1758	140480	140480	Mytilus edulis	Linnaeus, 1758	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus		edulis		1				MolluscaBase eds. (2022). MolluscaBase. Mytilus edulis Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=140480 on 2022-09-20		
219579	Najas marina	219579	Plantae - Viridiplantae - Streptophyta - Embryophyta - Tracheophyta - Euphyllophytina - Spermatophytae - Angiospermae - Liliopsida - Alismatales - Hydrocharitaceae - Najas - Najas marina	88	416207	exact	urn:lsid:marinespecies.org:taxname:416207	39001	Added by Database Management Team	accepted	Najas marina	L.	416207	416207	Najas marina	L.	Plantae	Tracheophyta	Magnoliopsida	Alismatales	Hydrocharitaceae	Najas		marina			1	1		WoRMS (2022). Najas marina L.. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=416207 on 2022-09-20		
219594	Stuckenia pectinata	219594	Plantae - Viridiplantae - Streptophyta - Embryophyta - Tracheophyta - Euphyllophytina - Spermatophytae - Angiospermae - Liliopsida - Alismatales - Potamogetonaceae - Stuckenia - Stuckenia pectinata	447	588573	exact	urn:lsid:marinespecies.org:taxname:588573	757504	Added by Database Management Team	accepted	Stuckenia pectinata	(L.) Börner, 1912	588573	588573	Stuckenia pectinata	(L.) Börner, 1912	Plantae	Tracheophyta	Magnoliopsida	Alismatales	Potamogetonaceae	Stuckenia		pectinata		0	1	1	0	WoRMS (2022). Stuckenia pectinata (L.) Börner, 1912. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=588573 on 2022-09-20		
219595	Potamogeton perfoliatus	219595	Plantae - Viridiplantae - Streptophyta - Embryophyta - Tracheophyta - Euphyllophytina - Spermatophytae - Angiospermae - Liliopsida - Alismatales - Potamogetonaceae - Potamogeton - Potamogeton perfoliatus	88	416212	exact	urn:lsid:marinespecies.org:taxname:416212	39011	Added by Database Management Team	accepted	Potamogeton perfoliatus	L.	416212	416212	Potamogeton perfoliatus	L.	Plantae	Tracheophyta	Magnoliopsida	Alismatales	Potamogetonaceae	Potamogeton		perfoliatus			1	1		WoRMS (2022). Potamogeton perfoliatus L.. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=416212 on 2022-09-20		
219604	Ruppia maritima	219604	Plantae - Viridiplantae - Streptophyta - Embryophyta - Tracheophyta - Euphyllophytina - Spermatophytae - Angiospermae - Liliopsida - Alismatales - Ruppiaceae - Ruppia - Ruppia maritima	225	234031	exact	urn:lsid:marinespecies.org:taxname:234031	39063	Checked by Taxonomic Editor	accepted	Ruppia maritima	Linnaeus, 1753	234031	234031	Ruppia maritima	Linnaeus, 1753	Plantae	Tracheophyta	Magnoliopsida	Alismatales	Ruppiaceae	Ruppia		maritima		0	1		0	Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Ruppia maritima Linnaeus, 1753. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=234031 on 2022-09-20		
219733	Phragmites australis	219733	Plantae - Viridiplantae - Streptophyta - Embryophyta - Tracheophyta - Euphyllophytina - Spermatophytae - Angiospermae - Liliopsida - Poales - Poaceae - Phragmites - Phragmites australis	7	416209	exact	urn:lsid:marinespecies.org:taxname:416209	41072	Added by Database Management Team	accepted	Phragmites australis	(Cav.) Trin. ex Steud.	416209	416209	Phragmites australis	(Cav.) Trin. ex Steud.	Plantae	Tracheophyta	Magnoliopsida	Poales	Poaceae	Phragmites		australis		0	1	1	1	WoRMS (2022). Phragmites australis (Cav.) Trin. ex Steud.. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=416209 on 2022-09-20		
221524	Elatine hydropiper	221524	Plantae - Viridiplantae - Streptophyta - Embryophyta - Tracheophyta - Euphyllophytina - Spermatophytae - Angiospermae - Magnoliopsida - Malpighiales - Elatinaceae - Elatine - Elatine hydropiper	9	715988	exact	urn:lsid:marinespecies.org:taxname:715988	896347	Added by Database Management Team	accepted	Elatine hydropiper	L.	715988	715988	Elatine hydropiper	L.	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Elatinaceae	Elatine		hydropiper		0	1	1		WoRMS (2022). Elatine hydropiper L.. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=715988 on 2022-09-20		
222389	Ceratophyllum demersum	222389	Plantae - Viridiplantae - Streptophyta - Embryophyta - Tracheophyta - Euphyllophytina - Spermatophytae - Angiospermae - Magnoliopsida - Ceratophyllales - Ceratophyllaceae - Ceratophyllum - Ceratophyllum demersum	91	416204	exact	urn:lsid:marinespecies.org:taxname:416204	18403	Added by Database Management Team	accepted	Ceratophyllum demersum	L.	416204	416204	Ceratophyllum demersum	L.	Plantae	Tracheophyta	Magnoliopsida	Ceratophyllales	Ceratophyllaceae	Ceratophyllum		demersum			1	1		WoRMS (2022). Ceratophyllum demersum L.. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=416204 on 2022-09-20		
