scientific_name	rank	aphia_id	parent_name	parent_id	authority	status	kingdom	phylum	class	order	family	genus	classification
Limecola balthica	Species	880017	Limecola	715043	(Linnaeus, 1758)	accepted	Animalia	Mollusca	Bivalvia	Cardiida	Tellinidae	Limecola	[] Biota - [Kingdom] Animalia - [Phylum] Mollusca - [Class] Bivalvia - [Subclass] Heterodonta - [Infraclass] Euheterodonta - [Superorder] Imparidentia - [Order] Cardiida - [Superfamily] Tellinoidea - [Family] Tellinidae - [Subfamily] Macominae - [Genus] Limecola - [Species] Limecola balthica
Macoma calcarea	Species	141580	Macoma	138531	(Gmelin, 1791)	accepted	Animalia	Mollusca	Bivalvia	Cardiida	Tellinidae	Macoma	[] Biota - [Kingdom] Animalia - [Phylum] Mollusca - [Class] Bivalvia - [Subclass] Heterodonta - [Infraclass] Euheterodonta - [Superorder] Imparidentia - [Order] Cardiida - [Superfamily] Tellinoidea - [Family] Tellinidae - [Subfamily] Macominae - [Genus] Macoma - [Species] Macoma calcarea
Limecola	Genus	715043	Macominae	225471	T. Brown, 1844	accepted	Animalia	Mollusca	Bivalvia	Cardiida	Tellinidae	Limecola	[] Biota - [Kingdom] Animalia - [Phylum] Mollusca - [Class] Bivalvia - [Subclass] Heterodonta - [Infraclass] Euheterodonta - [Superorder] Imparidentia - [Order] Cardiida - [Superfamily] Tellinoidea - [Family] Tellinidae - [Subfamily] Macominae - [Genus] Limecola
Biota		1				accepted							[] Biota
Animalia	Kingdom	2	Biota	1		accepted	Animalia						[] Biota - [Kingdom] Animalia
Mollusca	Phylum	51	Animalia	2		accepted	Animalia	Mollusca					[] Biota - [Kingdom] Animalia - [Phylum] Mollusca
Bivalvia	Class	105	Mollusca	51	Linnaeus, 1758	accepted	Animalia	Mollusca	Bivalvia				[] Biota - [Kingdom] Animalia - [Phylum] Mollusca - [Class] Bivalvia
Heterodonta	Subclass	216	Bivalvia	105	Neumayr, 1884	accepted	Animalia	Mollusca	Bivalvia				[] Biota - [Kingdom] Animalia - [Phylum] Mollusca - [Class] Bivalvia - [Subclass] Heterodonta
Euheterodonta	Infraclass	382296	Heterodonta	216		accepted	Animalia	Mollusca	Bivalvia				[] Biota - [Kingdom] Animalia - [Phylum] Mollusca - [Class] Bivalvia - [Subclass] Heterodonta - [Infraclass] Euheterodonta
Imparidentia	Superorder	869600	Euheterodonta	382296	Bieler, P. M. Mikkelsen & Giribet, 2014	accepted	Animalia	Mollusca	Bivalvia				[] Biota - [Kingdom] Animalia - [Phylum] Mollusca - [Class] Bivalvia - [Subclass] Heterodonta - [Infraclass] Euheterodonta - [Superorder] Imparidentia
Cardiida	Order	869602	Imparidentia	869600	Ferussac, 1822	accepted	Animalia	Mollusca	Bivalvia	Cardiida			[] Biota - [Kingdom] Animalia - [Phylum] Mollusca - [Class] Bivalvia - [Subclass] Heterodonta - [Infraclass] Euheterodonta - [Superorder] Imparidentia - [Order] Cardiida
Tellinoidea	Superfamily	14636	Cardiida	869602	Blainville, 1814	accepted	Animalia	Mollusca	Bivalvia	Cardiida			[] Biota - [Kingdom] Animalia - [Phylum] Mollusca - [Class] Bivalvia - [Subclass] Heterodonta - [Infraclass] Euheterodonta - [Superorder] Imparidentia - [Order] Cardiida - [Superfamily] Tellinoidea
Tellinidae	Family	235	Tellinoidea	14636	Blainville, 1814	accepted	Animalia	Mollusca	Bivalvia	Cardiida	Tellinidae		[] Biota - [Kingdom] Animalia - [Phylum] Mollusca - [Class] Bivalvia - [Subclass] Heterodonta - [Infraclass] Euheterodonta - [Superorder] Imparidentia - [Order] Cardiida - [Superfamily] Tellinoidea - [Family] Tellinidae
Macominae	Subfamily	225471	Tellinidae	235	Olsson, 1961	accepted	Animalia	Mollusca	Bivalvia	Cardiida	Tellinidae		[] Biota - [Kingdom] Animalia - [Phylum] Mollusca - [Class] Bivalvia - [Subclass] Heterodonta - [Infraclass] Euheterodonta - [Superorder] Imparidentia - [Order] Cardiida - [Superfamily] Tellinoidea - [Family] Tellinidae - [Subfamily] Macominae
Macoma	Genus	138531	Macominae	225471	Leach, 1819	accepted	Animalia	Mollusca	Bivalvia	Cardiida	Tellinidae	Macoma	[] Biota - [Kingdom] Animalia - [Phylum] Mollusca - [Class] Bivalvia - [Subclass] Heterodonta - [Infraclass] Euheterodonta - [Superorder] Imparidentia - [Order] Cardiida - [Superfamily] Tellinoidea - [Family] Tellinidae - [Subfamily] Macominae - [Genus] Macoma
