scientific_name	aphia_id	parent_scientific_name	parent_aphia_id	rank	authority	status	kingdom	phylum	class	order	family	genus
Limecola balthica	880017	Limecola	715043	Species	(Linnaeus, 1758)	accepted	Animalia	Mollusca	Bivalvia	Cardiida	Tellinidae	Limecola
Biota	1	None	None	None	None	accepted	None	None	None	None	None	None
Animalia	2	Biota	1	Kingdom	None	accepted	Animalia	None	None	None	None	None
Mollusca	51	Animalia	2	Phylum	None	accepted	Animalia	Mollusca	None	None	None	None
Bivalvia	105	Mollusca	51	Class	Linnaeus, 1758	accepted	Animalia	Mollusca	Bivalvia	None	None	None
Heterodonta	216	Bivalvia	105	Subclass	Neumayr, 1884	accepted	Animalia	Mollusca	Bivalvia	None	None	None
Euheterodonta	382296	Heterodonta	216	Infraclass	None	accepted	Animalia	Mollusca	Bivalvia	None	None	None
Imparidentia	869600	Euheterodonta	382296	Superorder	Bieler, P. M. Mikkelsen & Giribet, 2014	accepted	Animalia	Mollusca	Bivalvia	None	None	None
Cardiida	869602	Imparidentia	869600	Order	Ferussac, 1822	accepted	Animalia	Mollusca	Bivalvia	Cardiida	None	None
Tellinoidea	14636	Cardiida	869602	Superfamily	Blainville, 1814	accepted	Animalia	Mollusca	Bivalvia	Cardiida	None	None
Tellinidae	235	Tellinoidea	14636	Family	Blainville, 1814	accepted	Animalia	Mollusca	Bivalvia	Cardiida	Tellinidae	None
Macominae	225471	Tellinidae	235	Subfamily	Olsson, 1961	accepted	Animalia	Mollusca	Bivalvia	Cardiida	Tellinidae	None
Limecola	715043	Macominae	225471	Genus	T. Brown, 1844	accepted	Animalia	Mollusca	Bivalvia	Cardiida	Tellinidae	Limecola
